title,year,language,primary_genre,genres,director,lead_actor,has_love_triangle,review_notes
Sandakozhi,2005,Tamil,action,"action, romance, drama",Lingusamy,Vishal,True,Verify if romance subplot is significant enough to tag as has_romance
Sivakasi,2005,Tamil,action,"action, drama, romance, family",Perarasu,Vijay,True,Verify if romance subplot is significant enough to tag as has_romance
Adhi,2005,Tamil,action,"action, romance, comedy",K. V. Anand,Vijay,True,Verify if romance subplot is significant enough to tag as has_romance
Jai Chiranjeeva,2005,Telugu,action,"action, comedy, romance, drama",K. Raghavendra Rao,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Super,2005,Telugu,action,"action, comedy, romance, drama",Puri Jagannadh,Nagarjuna Akkineni,True,Verify if romance subplot is significant enough to tag as has_romance
Ji,2005,Tamil,action,"action, romance, thriller",N. Lingusamy,Ajith Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Thirupaachi,2005,Tamil,action,"action, romance, comedy, drama",Boopathy Pandian,Vijay,True,Verify if romance subplot is significant enough to tag as has_romance
Chakram,2005,Telugu,action,"action, romance, comedy",Mani Sharma,Prabhas,True,Verify if romance subplot is significant enough to tag as has_romance
Aaru,2005,Tamil,action,"action, romance, thriller",Hari,Suriya,True,Verify if romance subplot is significant enough to tag as has_romance
Balu,2005,Telugu,action,"action, comedy, romance, drama",Anil Ravipudi,Pawan Kalyan,True,Verify if romance subplot is significant enough to tag as has_romance
Daas,2005,Tamil,action,"action, romance, drama",Sakthi Chidambaram,Jayam Ravi,True,Verify if romance subplot is significant enough to tag as has_romance
Thotti Jaya,2005,Tamil,action,"action, drama, romance",Durai,Silambarasan,True,Verify if romance subplot is significant enough to tag as has_romance
Raam,2005,Tamil,action,"action, romance, drama",Ameer,Jiiva,True,Verify if romance subplot is significant enough to tag as has_romance
Deewane Huye Paagal,2005,Hindi,action,"action, comedy, romance",Vikram Bhatt,Shahid Kapoor,True,Verify if romance subplot is significant enough to tag as has_romance
Dhoom 2,2006,Hindi,action,"action, thriller, crime, comedy, romance, adventure",Sanjay Gadhvi,Hrithik Roshan,True,Verify if romance subplot is significant enough to tag as has_romance
Krrish,2006,Hindi,action,"action, romance, sci-fi, fantasy, adventure, family",Rakesh Roshan,Hrithik Roshan,True,Verify if romance subplot is significant enough to tag as has_romance
Pokiri,2006,Telugu,action,"action, thriller, crime, romance",Puri Jagannadh,Mahesh Babu,True,Verify if romance subplot is significant enough to tag as has_romance
Vikramarkudu,2006,Telugu,action,"action, comedy, romance, drama",S.S. Rajamouli,Ravi Teja,True,Verify if romance subplot is significant enough to tag as has_romance
Sainikudu,2006,Telugu,action,"action, romance, thriller",Gunasekhar,Mahesh Babu,True,Verify if romance subplot is significant enough to tag as has_romance
Saravana,2006,Tamil,action,"action, romance, drama, comedy",N. Rajasekar,Vijay,False,Verify if romance subplot is significant enough to tag as has_romance
Bangaram,2006,Telugu,action,"action, romance, drama",Puri Jagannadh,Pawan Kalyan,True,Verify if romance subplot is significant enough to tag as has_romance
Annavaram,2006,Telugu,action,"action, drama, romance, comedy",Bhimaneni Srinivasa Rao,Pawan Kalyan,True,Verify if romance subplot is significant enough to tag as has_romance
Ashok,2006,Telugu,action,"action, romance, comedy, drama",S.S. Rajamouli,Jr. NTR,True,Verify if romance subplot is significant enough to tag as has_romance
Varalaru,2006,Tamil,action,"action, drama, romance, thriller",K. S. Ravikumar,Ajith Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Happy,2006,Telugu,action,"action, comedy, romance",A. Karunakaran,Allu Arjun,True,Verify if romance subplot is significant enough to tag as has_romance
Stalin,2006,Telugu,action,"action, drama, comedy, romance",S.S. Rajamouli,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Okka Magaadu,2006,Telugu,action,"action, drama, romance",Ravi Raja Pinisetty,Balakrishna,True,Verify if romance subplot is significant enough to tag as has_romance
Lakshmi,2006,Telugu,action,"action, drama, romance, family",V. V. Vinayak,Venkatesh,True,Verify if romance subplot is significant enough to tag as has_romance
Poi,2006,Tamil,action,"action, comedy, romance, drama",K. S. Ravikumar,Vikram,True,Verify if romance subplot is significant enough to tag as has_romance
Sivaji,2007,Tamil,action,"action, comedy, romance, drama, thriller",S. Shankar,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
Pokkiri,2007,Tamil,action,"action, comedy, romance, thriller, crime",Prabhu Deva,Vijay,True,Verify if romance subplot is significant enough to tag as has_romance
Yamadonga,2007,Telugu,action,"action, comedy, fantasy, adventure, romance",S.S. Rajamouli,Jr. NTR,True,Verify if romance subplot is significant enough to tag as has_romance
Azhagiya Tamil Magan,2007,Tamil,action,"action, romance, drama, musical",Selvaraghavan,Vijay,True,Verify if romance subplot is significant enough to tag as has_romance
Chirutha,2007,Telugu,action,"action, romance, comedy",Puri Jagannadh,Ram Charan,True,Verify if romance subplot is significant enough to tag as has_romance
Tulasi,2007,Telugu,action,"action, romance, drama, family",Boyapati Srinu,Venkatesh,True,Verify if romance subplot is significant enough to tag as has_romance
Lakshyam,2007,Telugu,action,"action, drama, romance",Boyapati Srinu,Gopichand,True,Verify if romance subplot is significant enough to tag as has_romance
Desamuduru,2007,Telugu,action,"action, romance, comedy, thriller",Puri Jagannadh,Allu Arjun,True,Verify if romance subplot is significant enough to tag as has_romance
Dhee,2007,Telugu,action,"action, comedy, romance",Srinu Vaitla,Allu Arjun,True,Verify if romance subplot is significant enough to tag as has_romance
Athidhi,2007,Telugu,action,"action, romance, drama, comedy",Surender Reddy,Mahesh Babu,True,Verify if romance subplot is significant enough to tag as has_romance
Sivaji: The Boss,2007,Tamil,action,"action, comedy, drama, romance, musical",S. Shankar,Rajinikanth,False,Verify if romance subplot is significant enough to tag as has_romance
Yogi,2007,Telugu,action,"action, romance, comedy",Anand Ranga,Prabhas,True,Verify if romance subplot is significant enough to tag as has_romance
Dubai Seenu,2007,Telugu,action,"action, comedy, romance, drama",Srinu Vaitla,Ravi Teja,False,Verify if romance subplot is significant enough to tag as has_romance
Ghajini,2008,Hindi,action,"action, thriller, romance, drama",A.R. Murugadoss,Aamir Khan,True,Verify if romance subplot is significant enough to tag as has_romance
Jalsa,2008,Telugu,action,"action, comedy, romance, drama",Trivikram Srinivas,Pawan Kalyan,True,Verify if romance subplot is significant enough to tag as has_romance
Jothe Jotheyali,2008,Kannada,action,"action, romance, drama",Ravi Varma,Sudeep,True,Verify if romance subplot is significant enough to tag as has_romance
King,2008,Telugu,action,"action, comedy, romance",S. J. Suresh,Nagarjuna,True,Verify if romance subplot is significant enough to tag as has_romance
Jallu,2008,Telugu,action,"action, comedy, romance, drama",Teja,Ravi Teja,True,Verify if romance subplot is significant enough to tag as has_romance
Kuruvi,2008,Tamil,action,"action, comedy, romance",Dharani,Vijay,True,Verify if romance subplot is significant enough to tag as has_romance
Ezhil,2008,Tamil,action,"action, comedy, romance",Boopathy Pandian,Bharath,True,Verify if romance subplot is significant enough to tag as has_romance
Bheema,2008,Tamil,action,"action, romance, thriller",N. Linguswamy,Vikram,True,Verify if romance subplot is significant enough to tag as has_romance
Silambattam,2008,Tamil,action,"action, romance, comedy, drama",N. Rajasekar,Silambarasan,True,Verify if romance subplot is significant enough to tag as has_romance
Kantri,2008,Telugu,action,"action, comedy, romance, drama",Meher Ramesh,Jr. NTR,True,Verify if romance subplot is significant enough to tag as has_romance
Bujjigadu,2008,Telugu,action,"action, romance, comedy, drama",Puri Jagannadh,Prabhas,False,Verify if romance subplot is significant enough to tag as has_romance
Aegan,2008,Tamil,action,"action, comedy, romance",Raju Sundaram,Ajith Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Tashan,2008,Hindi,action,"action, comedy, romance, adventure",Vijay Krishna Acharya,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Narasimhudu,2008,Telugu,action,"action, drama, romance",Boyapati Sreenu,Balakrishna,True,Verify if romance subplot is significant enough to tag as has_romance
Baladur,2008,Telugu,action,"action, comedy, romance",A. Karunakaran,Ravi Teja,True,Verify if romance subplot is significant enough to tag as has_romance
Neninthe,2008,Telugu,action,"action, romance, comedy, drama",Puri Jagannadh,Ravi Teja,True,Verify if romance subplot is significant enough to tag as has_romance
Kaalai,2008,Tamil,action,"action, romance, drama",Tarun Gopi,Silambarasan,True,Verify if romance subplot is significant enough to tag as has_romance
Wanted,2009,Hindi,action,"action, thriller, crime, romance",Prabhu Deva,Salman Khan,True,Verify if romance subplot is significant enough to tag as has_romance
Magadheera,2009,Telugu,action,"action, fantasy, romance, adventure, historical",S.S. Rajamouli,Ram Charan,False,Verify if romance subplot is significant enough to tag as has_romance
Ayan,2009,Tamil,action,"action, thriller, adventure, romance",K. V. Anand,Suriya,True,Verify if romance subplot is significant enough to tag as has_romance
Vettaikaaran,2009,Tamil,action,"action, romance, comedy",Babloo Prithiveeraj,Vijay,True,Verify if romance subplot is significant enough to tag as has_romance
Padikathavan,2009,Tamil,action,"action, comedy, romance, drama",Boopathy Pandian,Dhanush,True,Verify if romance subplot is significant enough to tag as has_romance
Villu,2009,Tamil,action,"action, comedy, romance",Prabhu Deva,Vijay,True,Verify if romance subplot is significant enough to tag as has_romance
Kanthaswamy,2009,Tamil,action,"action, fantasy, comedy, romance, adventure",Susi Ganesan,Vikram,True,Verify if romance subplot is significant enough to tag as has_romance
Ek Niranjan,2009,Telugu,action,"action, romance, comedy",Puri Jagannadh,Prabhas,True,Verify if romance subplot is significant enough to tag as has_romance
Ride,2009,Telugu,action,"action, romance, comedy",Indra Kumar,Nani,True,Verify if romance subplot is significant enough to tag as has_romance
Anjaneyulu,2009,Telugu,action,"action, comedy, romance, musical",Boyapati Srinu,Ravi Teja,True,Verify if romance subplot is significant enough to tag as has_romance
Enthiran,2010,Tamil,action,"action, sci-fi, romance, drama, comedy",Shankar,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
Thillalangadi,2010,Tamil,action,"action, comedy, romance",M. Raja,Vijay,True,Verify if romance subplot is significant enough to tag as has_romance
Paiyaa,2010,Tamil,action,"action, romance, comedy, adventure",N. Rajasekar,Karthi,True,Verify if romance subplot is significant enough to tag as has_romance
Aasal,2010,Tamil,action,"action, romance, comedy, thriller",S. Dharani,Ajith Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Sura,2010,Tamil,action,"action, comedy, romance",S. P. Rajkumar,Vijay,True,Verify if romance subplot is significant enough to tag as has_romance
Simha,2010,Telugu,action,"action, comedy, romance, drama, fantasy",S.S. Rajamouli,Balakrishna,True,Verify if romance subplot is significant enough to tag as has_romance
Ragada,2010,Telugu,action,"action, comedy, romance, drama",Veeru Potla,Nagarjuna,True,Verify if romance subplot is significant enough to tag as has_romance
Varudu,2010,Telugu,action,"action, romance, drama, family",Gunasekhar,Allu Arjun,True,Verify if romance subplot is significant enough to tag as has_romance
Adhurs,2010,Telugu,action,"action, comedy, romance",V. V. Vinayak,Jr NTR,True,Verify if romance subplot is significant enough to tag as has_romance
Don Seenu,2010,Telugu,action,"action, comedy, romance, drama",Srinu Vaitla,Ravi Teja,True,Verify if romance subplot is significant enough to tag as has_romance
Aayirathil Oruvan,2010,Tamil,action,"action, adventure, fantasy, historical, comedy, romance",Selvaraghavan,Karthi,True,Verify if romance subplot is significant enough to tag as has_romance
Raavanan,2010,Tamil,action,"action, drama, romance, adventure",Mani Ratnam,Vikram,True,Verify if romance subplot is significant enough to tag as has_romance
Raavan,2010,Hindi,action,"action, drama, romance, adventure",Mani Ratnam,Abhishek Bachchan,True,Verify if romance subplot is significant enough to tag as has_romance
Endhiran,2010,Tamil,action,"action, sci-fi, romance, comedy, thriller",S. Shankar,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
Bodyguard,2011,Hindi,action,"action, romance, comedy, drama",Siddique,Salman Khan,True,Verify if romance subplot is significant enough to tag as has_romance
Dookudu,2011,Telugu,action,"action, comedy, romance, thriller",Srinu Vaitla,Mahesh Babu,True,Verify if romance subplot is significant enough to tag as has_romance
Siruthai,2011,Tamil,action,"action, comedy, romance, drama",Siruthai Siva,Karthi,True,Verify if romance subplot is significant enough to tag as has_romance
Kavalan,2011,Tamil,action,"action, comedy, romance, thriller",Boopathy Pandian,Vijay,True,Verify if romance subplot is significant enough to tag as has_romance
Velayudham,2011,Tamil,action,"action, comedy, romance, drama",M. Raja,Vijay,True,Verify if romance subplot is significant enough to tag as has_romance
Poraali,2011,Tamil,action,"action, drama, romance",Geetha Krishna,Prashanth,True,Verify if romance subplot is significant enough to tag as has_romance
Teen Maar,2011,Telugu,action,"action, comedy, romance, drama",Santosh Srinivas,Pawan Kalyan,True,Verify if romance subplot is significant enough to tag as has_romance
Badrinath,2011,Telugu,action,"action, romance, drama, adventure",V.V. Vinayak,Allu Arjun,False,Verify if romance subplot is significant enough to tag as has_romance
Mirapakay,2011,Telugu,action,"action, comedy, romance",Gopichand Malineni,Ravi Teja,True,Verify if romance subplot is significant enough to tag as has_romance
Oosaravelli,2011,Telugu,action,"action, romance, thriller, comedy",Surender Reddy,Jr. NTR,True,Verify if romance subplot is significant enough to tag as has_romance
Kaavalan,2011,Tamil,action,"action, comedy, romance",Siruthai Siva,Vijay,True,Verify if romance subplot is significant enough to tag as has_romance
Adukalam,2011,Tamil,action,"action, crime, drama, romance",Vetrimaaran,Dhanush,False,Verify if romance subplot is significant enough to tag as has_romance
Deepavali,2011,Tamil,action,"action, comedy, romance, drama, family",A. Venkatesh,Jayam Ravi,True,Verify if romance subplot is significant enough to tag as has_romance
Ek Tha Tiger,2012,Hindi,action,"action, romance, thriller, adventure",Kabir Khan,Salman Khan,False,Verify if romance subplot is significant enough to tag as has_romance
Eega,2012,Tamil,action,"action, fantasy, romance, thriller",S.S. Rajamouli,Sudeep,True,Verify if romance subplot is significant enough to tag as has_romance
Dabangg 2,2012,Hindi,action,"action, comedy, romance, drama",Arbaaz Khan,Salman Khan,True,Verify if romance subplot is significant enough to tag as has_romance
Julayi,2012,Telugu,action,"action, comedy, thriller, romance",Trivikram Srinivas,Allu Arjun,True,Verify if romance subplot is significant enough to tag as has_romance
Gabbar Singh,2012,Telugu,action,"action, comedy, romance",Harish Shankar,Pawan Kalyan,True,Verify if romance subplot is significant enough to tag as has_romance
Sundarapandian,2012,Tamil,action,"action, drama, romance, comedy, family",K. S. Ravikumar,Vijay Sethupathi,True,Verify if romance subplot is significant enough to tag as has_romance
Racha,2012,Telugu,action,"action, romance, comedy, thriller",Sampath Nandi,Ram Charan,True,Verify if romance subplot is significant enough to tag as has_romance
Dammu,2012,Telugu,action,"action, comedy, drama, romance",Srinu Vaitla,Jr. NTR,True,Verify if romance subplot is significant enough to tag as has_romance
Nippu,2012,Telugu,action,"action, romance, comedy, drama",Srikanth Addala,Ravi Teja,True,Verify if romance subplot is significant enough to tag as has_romance
Rebel,2012,Telugu,action,"action, romance, drama",Raghava Lawrence,Prabhas,True,Verify if romance subplot is significant enough to tag as has_romance
Pesarattu,2012,Telugu,action,"action, romance, drama",V.V. Vinayak,Manchu Vishnu,True,Verify if romance subplot is significant enough to tag as has_romance
Thaandavam,2012,Tamil,action,"action, drama, romance, thriller",A. L. Vijay,Vikram,False,Verify if romance subplot is significant enough to tag as has_romance
Krrish 3,2013,Hindi,action,"action, sci-fi, fantasy, adventure, romance",Rakesh Roshan,Hrithik Roshan,True,Verify if romance subplot is significant enough to tag as has_romance
Once Upon a Time in Mumbaai Dobara,2013,Hindi,action,"action, crime, drama, romance, thriller",Milan Luthria,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Mirchi,2013,Telugu,action,"action, romance, comedy, drama",Koratala Siva,Prabhas,True,Verify if romance subplot is significant enough to tag as has_romance
Naayak,2013,Telugu,action,"action, romance, comedy, drama",Vamshi Paidipally,Ram Charan,True,Verify if romance subplot is significant enough to tag as has_romance
Balupu,2013,Telugu,action,"action, comedy, romance",G. Nageswara Reddy,Ravi Teja,True,Verify if romance subplot is significant enough to tag as has_romance
Ongole Gitta,2013,Telugu,action,"action, comedy, romance",Y. Sai Babu,Ram,True,Verify if romance subplot is significant enough to tag as has_romance
Ramayya Vasthavayya,2013,Telugu,action,"action, romance, comedy, drama",Harish Shankar,Jr. NTR,True,Verify if romance subplot is significant enough to tag as has_romance
Masala,2013,Telugu,action,"action, comedy, romance, drama",V.V. Vinayak,Venkatesh,True,Verify if romance subplot is significant enough to tag as has_romance
Tadakha,2013,Telugu,action,"action, romance, comedy",Kishore Kumar Pardasani,Manchu Manoj,True,Verify if romance subplot is significant enough to tag as has_romance
Himmatwala,2013,Hindi,action,"action, comedy, romance, drama, musical",Sajid Khan,Ajay Devgn,True,Verify if romance subplot is significant enough to tag as has_romance
Bhai,2013,Telugu,action,"action, drama, family, romance",Veerabhadram,Nagarjuna,True,Verify if romance subplot is significant enough to tag as has_romance
Boologam,2013,Tamil,action,"action, comedy, romance",S. P. Rajkumar,Jayam Ravi,True,Verify if romance subplot is significant enough to tag as has_romance
Alex Pandian,2013,Tamil,action,"action, comedy, romance",N. Rajasekar,Karthi,True,Verify if romance subplot is significant enough to tag as has_romance
R... Rajkumar,2013,Hindi,action,"action, comedy, romance",Prabhu Deva,Shahid Kapoor,True,Verify if romance subplot is significant enough to tag as has_romance
Kick,2014,Hindi,action,"action, comedy, romance, thriller",Sajid Nadiadwala,Salman Khan,True,Verify if romance subplot is significant enough to tag as has_romance
Gunday,2014,Hindi,action,"action, drama, romance, crime, adventure",Ali Abbas Zafar,Ranveer Singh,True,Verify if romance subplot is significant enough to tag as has_romance
Bang Bang!,2014,Hindi,action,"action, romance, adventure, comedy",Siddharth Anand,Hrithik Roshan,True,Verify if romance subplot is significant enough to tag as has_romance
Power,2014,Telugu,action,"action, drama, romance",K. S. Ravindra,Jr. NTR,True,Verify if romance subplot is significant enough to tag as has_romance
Veeram,2014,Tamil,action,"action, romance, comedy, drama, family",Siva,Ajith Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Yevadu,2014,Telugu,action,"action, romance, thriller, drama",Vamsi Paidipally,Ram Charan,True,Verify if romance subplot is significant enough to tag as has_romance
Aagadu,2014,Telugu,action,"action, comedy, romance",Sreenu Vaitla,Mahesh Babu,True,Verify if romance subplot is significant enough to tag as has_romance
Legend,2014,Telugu,action,"action, drama, romance, family",Boyapati Srinu,Balakrishna,True,Verify if romance subplot is significant enough to tag as has_romance
Autonagar Surya,2014,Telugu,action,"action, drama, romance",Deva Katta,Naga Chaitanya,True,Verify if romance subplot is significant enough to tag as has_romance
Loukyam,2014,Telugu,action,"action, comedy, romance",Sriwass,Gopichand,True,Verify if romance subplot is significant enough to tag as has_romance
Ra Ra Krishnayya,2014,Telugu,action,"action, comedy, romance",G. Nageswara Reddy,Sundeep Kishan,True,Verify if romance subplot is significant enough to tag as has_romance
Action Jackson,2014,Hindi,action,"action, comedy, romance",Prabhu Deva,Ajay Devgn,True,Verify if romance subplot is significant enough to tag as has_romance
Bang Bang,2014,Hindi,action,"action, romance, adventure, comedy",Siddharth Anand,Hrithik Roshan,True,Verify if romance subplot is significant enough to tag as has_romance
Kill Dil,2014,Hindi,action,"action, romance, crime, drama",Shaad Ali,Ranveer Singh,False,Verify if romance subplot is significant enough to tag as has_romance
Paisa,2014,Telugu,action,"action, comedy, romance, drama",Krishna Vamsi,Nani,True,Verify if romance subplot is significant enough to tag as has_romance
Baahubali: The Beginning,2015,Telugu,action,"action, adventure, fantasy, drama, historical, romance",S.S. Rajamouli,Prabhas,True,Verify if romance subplot is significant enough to tag as has_romance
I,2015,Tamil,action,"action, romance, drama, thriller",S. Shankar,Vikram,True,Verify if romance subplot is significant enough to tag as has_romance
Vedalam,2015,Tamil,action,"action, thriller, drama, romance",Siva,Ajith Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Masterpiece,2015,Kannada,action,"action, comedy, romance, drama",Om Prakash Rao,Yash,True,Verify if romance subplot is significant enough to tag as has_romance
Puli,2015,Tamil,action,"action, fantasy, adventure, romance",Chimbu Deven,Vijay,True,Verify if romance subplot is significant enough to tag as has_romance
Nanbenda,2015,Tamil,action,"action, comedy, romance",N. Rajasekar,Udhayanidhi Stalin,True,Verify if romance subplot is significant enough to tag as has_romance
Rabhasa,2015,Telugu,action,"action, romance, comedy, drama",Santosh Srinivas,Jr. NTR,True,Verify if romance subplot is significant enough to tag as has_romance
Jil,2015,Telugu,action,"action, romance, drama",Radhakrishna Jagarlamudi,Gopichand,True,Verify if romance subplot is significant enough to tag as has_romance
Bruce Lee: The Fighter,2015,Telugu,action,"action, comedy, romance",Srinu Vaitla,Ram Charan,True,Verify if romance subplot is significant enough to tag as has_romance
Bengal Tiger,2015,Telugu,action,"action, comedy, romance, drama",Sampath Nandi,Ravi Teja,True,Verify if romance subplot is significant enough to tag as has_romance
Kick 2,2015,Telugu,action,"action, comedy, romance, thriller",Surender Reddy,Ravi Teja,True,Verify if romance subplot is significant enough to tag as has_romance
Maari,2015,Tamil,action,"action, comedy, romance",Balaji Mohan,Dhanush,True,Verify if romance subplot is significant enough to tag as has_romance
Komban,2015,Tamil,action,"action, drama, romance, comedy",M. Muthaiah,Karthi,True,Verify if romance subplot is significant enough to tag as has_romance
Tevar,2015,Hindi,action,"action, romance, drama",Amit Ravindernath Sharma,Manoj Bajpayee,True,Verify if romance subplot is significant enough to tag as has_romance
Vaalu,2015,Tamil,action,"action, romance, thriller",Vijay Chandar,Silambarasan,True,Verify if romance subplot is significant enough to tag as has_romance
Kaaki Sattai,2015,Tamil,action,"action, comedy, romance, thriller",Nelson Dilipkumar,Sivakarthikeyan,True,Verify if romance subplot is significant enough to tag as has_romance
Theri,2016,Tamil,action,"action, thriller, drama, romance, family",Atlee,Vijay,True,Verify if romance subplot is significant enough to tag as has_romance
Nannaku Prematho,2016,Telugu,action,"action, romance, drama, adventure",Sukumar,Jr. NTR,False,Verify if romance subplot is significant enough to tag as has_romance
Janatha Garage,2016,Telugu,action,"action, drama, family, romance",Koratala Siva,Jr. NTR,True,Verify if romance subplot is significant enough to tag as has_romance
Rekka,2016,Tamil,action,"action, comedy, romance",Rathna Kumar,Vijay Sethupathi,True,Verify if romance subplot is significant enough to tag as has_romance
Maruthu,2016,Tamil,action,"action, romance, comedy",N. Rajasekar,Vishal,True,Verify if romance subplot is significant enough to tag as has_romance
Saahasam,2016,Tamil,action,"action, romance, thriller",N. Rajasekar,Prashanth,True,Verify if romance subplot is significant enough to tag as has_romance
Saagasam,2016,Tamil,action,"action, romance, thriller",N. Rajasekar,Prashanth,True,Verify if romance subplot is significant enough to tag as has_romance
Sardaar Gabbar Singh,2016,Telugu,action,"action, comedy, romance, adventure",Bobby,Pawan Kalyan,True,Verify if romance subplot is significant enough to tag as has_romance
Sarrainodu,2016,Telugu,action,"action, romance, comedy",Boyapati Srinu,Allu Arjun,True,Verify if romance subplot is significant enough to tag as has_romance
Bichagadu,2016,Telugu,action,"action, comedy, romance, drama",Deekay,Vijay Antony,True,Verify if romance subplot is significant enough to tag as has_romance
Speedunnodu,2016,Telugu,action,"action, comedy, romance",N. Shankar,Manchu Vishnu,True,Verify if romance subplot is significant enough to tag as has_romance
Hyper,2016,Telugu,action,"action, comedy, romance",Santosh Srinivas,Ram Pothineni,True,Verify if romance subplot is significant enough to tag as has_romance
Kaththi Sandai,2016,Tamil,action,"action, comedy, romance, drama",Suraj,Arya,True,Verify if romance subplot is significant enough to tag as has_romance
Iru Mugan,2016,Tamil,action,"action, thriller, sci-fi, romance",Anand Shankar,Vikram,True,Verify if romance subplot is significant enough to tag as has_romance
Baahubali 2: The Conclusion,2017,Telugu,action,"action, drama, fantasy, adventure, romance, historical",S.S. Rajamouli,Prabhas,True,Verify if romance subplot is significant enough to tag as has_romance
Tiger Zinda Hai,2017,Hindi,action,"action, thriller, romance, adventure",Ali Abbas Zafar,Salman Khan,True,Verify if romance subplot is significant enough to tag as has_romance
DJ: Duvvada Jagannadham,2017,Telugu,action,"action, comedy, romance, drama",Harish Shankar,Allu Arjun,True,Verify if romance subplot is significant enough to tag as has_romance
Bairavaa,2017,Tamil,action,"action, drama, romance, comedy",Bharat Raj,Vijay,True,Verify if romance subplot is significant enough to tag as has_romance
Velai Illa Pattadhari 2,2017,Tamil,action,"action, drama, comedy, romance",S. A. Chandrakumar,Dhanush,True,Verify if romance subplot is significant enough to tag as has_romance
Winner,2017,Telugu,action,"action, romance, drama",G. Nageswara Reddy,Rakul Preet Singh,True,Verify if romance subplot is significant enough to tag as has_romance
MCA Middle Class Abbayi,2017,Telugu,action,"action, comedy, romance, drama",Venu Sriram,Nani,True,Verify if romance subplot is significant enough to tag as has_romance
Raja The Great,2017,Telugu,action,"action, comedy, romance, thriller",Anil Ravipudi,Ravi Teja,True,Verify if romance subplot is significant enough to tag as has_romance
Baadshaho,2017,Hindi,action,"action, thriller, crime, romance",Milan Luthria,Ajay Devgn,True,Verify if romance subplot is significant enough to tag as has_romance
DJ Duvvada Jagannadham,2017,Telugu,action,"action, comedy, romance, thriller",Harish Shankar,Allu Arjun,True,Verify if romance subplot is significant enough to tag as has_romance
MCA,2017,Telugu,action,"action, comedy, romance, drama",Venu Sriram,Nani,True,Verify if romance subplot is significant enough to tag as has_romance
Dwaraka,2017,Telugu,action,"action, romance, comedy",Srinivas Raga,Vijay Deverakonda,True,Verify if romance subplot is significant enough to tag as has_romance
Vanamagan,2017,Tamil,action,"action, romance, adventure, drama",A. L. Vijay,Jayam Ravi,True,Verify if romance subplot is significant enough to tag as has_romance
Anbanavan Asaradhavan Adangadhavan,2017,Tamil,action,"action, comedy, romance",Adhik Ravichandran,Silambarasan,True,Verify if romance subplot is significant enough to tag as has_romance
Velaikkaran,2017,Tamil,action,"action, comedy, romance, drama",Mohan Raja,Sivakarthikeyan,True,Verify if romance subplot is significant enough to tag as has_romance
Agnyaathavaasi,2018,Telugu,action,"action, drama, romance, comedy, adventure",Trivikram Srinivas,Pawan Kalyan,False,Verify if romance subplot is significant enough to tag as has_romance
Aravindha Sametha Veera Raghava,2018,Telugu,action,"action, drama, romance, family",Trivikram Srinivas,Jr. NTR,True,Verify if romance subplot is significant enough to tag as has_romance
Sandakozhi 2,2018,Tamil,action,"action, thriller, romance",N. Rajasekar,Vishal,True,Verify if romance subplot is significant enough to tag as has_romance
Sketch,2018,Tamil,action,"action, comedy, romance, thriller",Vijay Chander,Chiyaan Vikram,True,Verify if romance subplot is significant enough to tag as has_romance
Naa Peru Surya,2018,Telugu,action,"action, drama, romance",Vakkantham Vamsi,Allu Arjun,True,Verify if romance subplot is significant enough to tag as has_romance
Naa Nuvve,2018,Telugu,action,"action, romance, drama, thriller",Jayendra Panchapakesan,Kalyan Ram,True,Verify if romance subplot is significant enough to tag as has_romance
Krishnarjuna Yuddham,2018,Telugu,action,"action, comedy, romance, drama",Merlapaka Gandhi,Nani,True,Verify if romance subplot is significant enough to tag as has_romance
Aravinda Sametha Veera Raghava,2018,Telugu,action,"action, drama, romance, family",Trivikram Srinivas,Jr NTR,True,Verify if romance subplot is significant enough to tag as has_romance
Jai Simha,2018,Telugu,action,"action, drama, romance",K. S. Ravi Kumar,Balakrishna,True,Verify if romance subplot is significant enough to tag as has_romance
Touch Chesi Chudu,2018,Telugu,action,"action, comedy, romance",Vikram Kumar,Ravi Teja,True,Verify if romance subplot is significant enough to tag as has_romance
Maari 2,2018,Tamil,action,"action, comedy, romance",Balaji Mohan,Dhanush,True,Verify if romance subplot is significant enough to tag as has_romance
Seemaraja,2018,Tamil,action,"action, comedy, romance, drama",Ponram,Sivakarthikeyan,True,Verify if romance subplot is significant enough to tag as has_romance
Saaho,2019,Telugu,action,"action, thriller, romance",Sujeeth,Prabhas,True,Verify if romance subplot is significant enough to tag as has_romance
